DATE,Urban Population,CPI,Houses supplied,Median Income,Interest Rates,working population,Subsidies (billion $),CSUSHPISA,Unemployement Rate,construction materials,GDP per capita
2000-01-01,169.3,2.350195,4.3,67470.0,5.0,178209067.082608,19.69,100.552,4.0,144.1,49335.0
2000-02-01,170.0,2.3950909,4.3,67470.0,5.24,178285975.42885602,19.69,101.339,4.1,144.7,49335.0
2000-03-01,171.0,2.4989589,4.3,67470.0,5.34,178369731.62972102,19.69,102.127,4.0,145.4,49335.0
2000-04-01,170.9,2.4247194,4.4,67470.0,5.5,178536754.686225,19.69,102.922,3.8,145.6,50109.0
2000-05-01,171.2,2.5736327,4.4,67470.0,5.71,178768004.17124298,19.69,103.678,4.0,144.9,50109.0
2000-06-01,172.2,2.7153642,4.8,67470.0,5.75,179072747.163642,19.69,104.424,4.0,145.0,50109.0
2000-07-01,172.7,2.7240005,4.1,67470.0,5.75,179370481.72076,19.69,105.054,4.0,144.4,50024.0
2000-08-01,172.7,2.8853852,4.4,67470.0,5.75,179443880.06178302,19.69,105.768,4.1,143.7,50024.0
2000-09-01,173.6,2.908796,4.0,67470.0,5.75,179615719.517395,19.69,106.538,3.9,143.4,50024.0
2000-10-01,173.9,2.9310365,4.0,67470.0,5.75,179807894.63622,19.69,107.383,3.9,143.3,50190.0
2000-11-01,174.2,2.8816134,4.2,67470.0,5.75,179922765.611799,19.69,108.302,3.9,142.7,50190.0
2000-12-01,174.6,2.9838403,3.6,67470.0,5.75,180065887.985839,19.69,109.14,3.9,142.5,50190.0
2001-01-01,175.6,2.8896431,3.8,66360.0,5.52,180351528.370026,20.573,109.846,4.2,142.0,49911.0
2001-02-01,176.0,2.9893325,3.7,66360.0,5.0,180508895.81627703,20.573,110.501,4.2,142.4,49911.0
2001-03-01,176.1,2.9711853,3.8,66360.0,4.81,180598755.438834,20.573,111.109,4.3,142.4,49911.0
2001-04-01,176.4,3.1007641,3.9,66360.0,4.28,180853590.300347,20.573,111.652,4.4,142.5,50105.0
2001-05-01,177.3,3.0843327,4.0,66360.0,3.73,181011180.188663,20.573,112.164,4.3,144.2,50105.0
2001-06-01,177.7,3.2118098,4.2,66360.0,3.47,181358084.642758,20.573,112.796,4.5,144.3,50105.0
2001-07-01,177.4,3.2190557,4.2,66360.0,3.25,181603809.65329897,20.573,113.491,4.6,143.4,49774.0
2001-08-01,177.4,3.2635089,4.4,66360.0,3.16,181863016.548477,20.573,114.168,4.9,143.3,49774.0
2001-09-01,178.1,3.3990087,4.4,66360.0,2.77,181993557.668587,20.573,114.812,5.0,143.0,49774.0
2001-10-01,177.6,3.4934371,4.3,66360.0,2.02,182251311.855161,20.573,115.31,5.3,142.3,49783.0
2001-11-01,177.5,3.6122717,4.1,66360.0,1.58,182512620.209148,20.573,115.857,5.5,142.1,49783.0
2001-12-01,177.4,3.5754587,3.8,66360.0,1.33,182713042.748544,20.573,116.455,5.7,141.7,49783.0
2002-01-01,177.7,3.5684398,4.2,65820.0,1.25,182662008.951495,24.183,117.144,5.7,142.0,50091.0
2002-02-01,178.0,3.5387817,4.0,65820.0,1.25,182821887.188288,24.183,117.844,5.7,142.2,50091.0
2002-03-01,178.5,3.480145,4.1,65820.0,1.25,183075694.261812,24.183,118.687,5.7,143.2,50091.0
2002-04-01,179.3,3.4775061,4.3,65820.0,1.25,183314281.68489492,24.183,119.61,5.9,143.5,50286.0
2002-05-01,179.5,3.4632677,4.0,65820.0,1.25,183467153.69683692,24.183,120.724,5.8,143.8,50286.0
2002-06-01,179.6,3.2512149,4.2,65820.0,1.25,183671360.734222,24.183,121.813,5.8,144.3,50286.0
2002-07-01,180.0,3.2740984,4.2,65820.0,1.25,183870069.36741,24.183,122.888,5.8,144.7,50362.0
2002-08-01,180.5,3.1567969,4.0,65820.0,1.25,184129205.348042,24.183,123.83,5.7,145.1,50362.0
2002-09-01,180.8,3.0374651,3.9,65820.0,1.25,184259766.167293,24.183,124.78,5.7,145.4,50362.0
2002-10-01,181.2,2.9477485,4.0,65820.0,1.25,184464932.450177,24.183,125.734,5.7,145.0,50302.0
2002-11-01,181.5,2.8341831,4.0,65820.0,0.83,184784167.385802,24.183,126.669,5.9,144.6,50302.0
2002-12-01,181.8,2.8018315,4.0,65820.0,0.75,184901499.296025,24.183,127.623,6.0,144.3,50302.0
2003-01-01,182.6,2.7875531,4.0,65860.0,2.25,185655258.260117,25.93,128.461,5.8,144.4,50462.0
2003-02-01,183.6,2.7046594,4.5,65860.0,2.25,185831005.987438,25.93,129.356,5.9,145.2,50462.0
2003-03-01,183.9,2.6277872,4.1,65860.0,2.25,186120061.66385,25.93,130.148,5.9,145.2,50462.0
